---Resultados de clientes ejercicio 2a dispatcher round robin---
Cliente;Tiempo medio de servicio
Cliente30;0,00525299
Cliente14;0,00523576
Cliente33;0,00523132
Cliente13;0,00522344
Cliente4;0,00519759

Cliente4;0,00570198
Cliente2;0,00571783
Cliente31;0,00574825
Cliente27;0,00569394
Cliente30;0,00569176
Cliente14;0,0056825
Cliente23;0,00571058
Cliente21;0,00572033
Cliente20;0,00570633
Cliente19;0,00570364
Cliente10;0,00571227
Cliente3;0,00569759
Cliente18;0,00573809
Cliente26;0,00574492
Cliente38;0,00568677
Cliente28;0,00573535
Cliente35;0,00570723
Cliente34;0,00569067
Cliente5;0,00570424
Cliente37;0,00570321
Cliente15;0,00567995
Cliente1;0,00565509
Cliente22;0,00569015
Cliente12;0,00567663
Cliente17;0,00568855
Cliente0;0,0057342
Cliente13;0,00568667
Cliente16;0,00570601
Cliente11;0,00569892
Cliente25;0,00570402
Cliente6;0,00565565
Cliente8;0,00570838
Cliente39;0,00573905
Cliente33;0,00568252
Cliente9;0,00572747
Cliente24;0,00570377
Cliente32;0,00567903
Cliente7;0,00571369
Cliente29;0,0057111
Cliente36;0,00564588

Cliente14;0,00624234
Cliente1;0,00623752
Cliente21;0,00620626
Cliente37;0,00625649
Cliente20;0,00628495
Cliente19;0,00622091
Cliente8;0,00627896
Cliente40;0,00622438
Cliente5;0,00624962
Cliente16;0,00626457
Cliente13;0,00626292
Cliente11;0,00624548
Cliente38;0,0063074
Cliente25;0,00628632
Cliente6;0,00625898
Cliente30;0,0062439
Cliente2;0,00623002
Cliente28;0,00620872
Cliente41;0,00629874
Cliente34;0,00623564
Cliente26;0,00625999
Cliente18;0,00625401
Cliente29;0,00627027
Cliente39;0,00622918
Cliente36;0,00623998
Cliente24;0,00625063
Cliente22;0,00620707
Cliente35;0,0062552
Cliente17;0,00628822
Cliente31;0,00622834
Cliente32;0,00623869
Cliente4;0,0062482
Cliente10;0,00625537
Cliente23;0,00624499
Cliente15;0,00626363
Cliente12;0,00626898
Cliente7;0,00620089
Cliente3;0,00630019
Cliente27;0,00626356
Cliente0;0,00628299
Cliente9;0,00626966
Cliente33;0,0063111

Cliente30;0,00681818
Cliente38;0,0068799
Cliente16;0,00691499
Cliente18;0,00687718
Cliente22;0,00684378
Cliente13;0,00685309
Cliente2;0,00691666
Cliente4;0,00686877
Cliente3;0,00691311
Cliente5;0,00691255
Cliente12;0,00691978
Cliente34;0,00685688
Cliente40;0,00686549
Cliente29;0,00690132
Cliente21;0,00684149
Cliente0;0,00685637
Cliente42;0,00683664
Cliente25;0,00688619
Cliente6;0,00687839
Cliente24;0,00683728
Cliente10;0,00685492
Cliente14;0,00687882
Cliente23;0,00687583
Cliente20;0,00688019
Cliente26;0,00686608
Cliente27;0,00680135
Cliente28;0,00688435
Cliente8;0,00689028
Cliente41;0,00686894
Cliente11;0,00689497
Cliente17;0,00684272
Cliente32;0,00695711
Cliente7;0,00692775
Cliente43;0,00686472
Cliente33;0,00686823
Cliente31;0,00686651
Cliente15;0,00690972
Cliente35;0,00688551
Cliente19;0,0068941
Cliente9;0,00688529
Cliente37;0,00687411
Cliente36;0,00687222
Cliente1;0,00688497
Cliente39;0,00683634

Cliente3;0,00752559
Cliente19;0,00753813
Cliente31;0,00752992
Cliente44;0,00749249
Cliente29;0,00754415
Cliente15;0,00752428
Cliente10;0,00753027
Cliente45;0,00750637
Cliente40;0,00754435
Cliente5;0,00757649
Cliente26;0,00754132
Cliente35;0,00752989
Cliente7;0,00753865
Cliente41;0,00754017
Cliente9;0,00756864
Cliente28;0,00754409
Cliente25;0,0075247
Cliente16;0,00753501
Cliente32;0,00755876
Cliente2;0,00756686
Cliente18;0,00749647
Cliente23;0,00757966
Cliente1;0,00754232
Cliente30;0,0075741
Cliente13;0,00758806
Cliente8;0,00759782
Cliente0;0,00755084
Cliente27;0,0075803
Cliente21;0,00755074
Cliente39;0,00757848
Cliente37;0,00754855
Cliente6;0,00755115
Cliente20;0,00756617
Cliente24;0,00755891
Cliente4;0,00759293
Cliente14;0,00755836
Cliente43;0,00756341
Cliente22;0,00754564
Cliente34;0,00758284
Cliente38;0,00755772
Cliente33;0,00757038
Cliente11;0,00750851
Cliente36;0,00755843
Cliente42;0,00753575
Cliente12;0,00751904
Cliente17;0,00754674

Cliente29;0,00827848
Cliente26;0,00835822
Cliente9;0,00830254
Cliente19;0,00829605
Cliente13;0,00828636
Cliente36;0,00830324
Cliente30;0,00830815
Cliente35;0,00828777
Cliente15;0,0082905
Cliente40;0,00832438
Cliente33;0,00827581
Cliente20;0,0083175
Cliente3;0,0083175
Cliente7;0,00834266
Cliente47;0,00830871
Cliente28;0,00834794
Cliente12;0,00830504
Cliente23;0,00830053
Cliente16;0,00834991
Cliente14;0,00832992
Cliente45;0,00826474
Cliente5;0,00834047
Cliente0;0,00830343
Cliente44;0,0083619
Cliente46;0,00827845
Cliente42;0,00825232
Cliente32;0,00828043
Cliente31;0,00834837
Cliente24;0,00827209
Cliente34;0,00827283
Cliente25;0,00831558
Cliente11;0,00833369
Cliente38;0,00832728
Cliente6;0,00829318
Cliente1;0,00833828
Cliente18;0,00831949
Cliente27;0,00838634
Cliente22;0,00831394
Cliente2;0,00832435
Cliente21;0,00836973
Cliente43;0,00833639
Cliente10;0,00836213
Cliente17;0,00834661
Cliente4;0,0083722
Cliente41;0,00837689
Cliente39;0,00836069
Cliente37;0,0083488
Cliente8;0,00838406

Cliente7;0,00906521
Cliente23;0,00906089
Cliente13;0,00905589
Cliente24;0,00900309
Cliente6;0,00903589
Cliente37;0,00900561
Cliente17;0,00908759
Cliente44;0,00900844
Cliente8;0,00901373
Cliente38;0,00900875
Cliente28;0,00907996
Cliente48;0,00905116
Cliente42;0,00907993
Cliente27;0,0090484
Cliente11;0,00902179
Cliente20;0,00907527
Cliente15;0,00905556
Cliente19;0,00901266
Cliente16;0,00906591
Cliente14;0,00910123
Cliente45;0,0090713
Cliente32;0,00904751
Cliente2;0,00908706
Cliente46;0,00903088
Cliente49;0,0090897
Cliente12;0,00911179
Cliente1;0,00902591
Cliente0;0,00906019
Cliente30;0,00903089
Cliente35;0,00909569
Cliente43;0,00905767
Cliente4;0,00903505
Cliente25;0,00909902
Cliente10;0,0090852
Cliente40;0,00906702
Cliente29;0,00904807
Cliente26;0,00911265
Cliente31;0,00906499
Cliente33;0,00911616
Cliente47;0,00909746
Cliente18;0,00906591
Cliente5;0,00908232
Cliente21;0,00906078
Cliente3;0,00903424
Cliente34;0,00907829
Cliente9;0,00907382
Cliente22;0,00906488
Cliente36;0,00907321
Cliente41;0,0090611
Cliente39;0,00907662

Cliente24;0,0127502
Cliente44;0,0127924
Cliente47;0,0128576
Cliente46;0,012838
Cliente22;0,0128371
Cliente40;0,0128632
Cliente26;0,0128352
Cliente29;0,0128826
Cliente54;0,0128314
Cliente27;0,0128707
Cliente1;0,0128709
Cliente25;0,0128672
Cliente48;0,0128702
Cliente11;0,0128816
Cliente45;0,0128186
Cliente23;0,0128516
Cliente4;0,0129021
Cliente35;0,0128934
Cliente55;0,0128493
Cliente9;0,0128652
Cliente49;0,0128693
Cliente30;0,0129407
Cliente6;0,0128728
Cliente16;0,0128587
Cliente0;0,0128117
Cliente28;0,0129108
Cliente59;0,0128851
Cliente5;0,0128948
Cliente19;0,0128481
Cliente57;0,01285
Cliente31;0,0128948
Cliente21;0,012868
Cliente50;0,0129333
Cliente2;0,0128807
Cliente10;0,0129303
Cliente17;0,0129016
Cliente51;0,01288
Cliente53;0,0128787
Cliente58;0,0128997
Cliente33;0,0129308
Cliente36;0,0128425
Cliente52;0,0129287
Cliente37;0,0128757
Cliente3;0,0129299
Cliente32;0,0128663
Cliente8;0,0129157
Cliente18;0,0129122
Cliente38;0,0129097
Cliente20;0,0128856
Cliente42;0,0129025
Cliente43;0,0129619
Cliente15;0,0129172
Cliente41;0,0128935
Cliente39;0,0129275
Cliente7;0,0129293
Cliente12;0,012914
Cliente56;0,0128767
Cliente14;0,0128846
Cliente34;0,0128971
Cliente13;0,0128571

Cliente59;0,016526
Cliente1;0,0166093
Cliente60;0,0165721
Cliente50;0,0166343
Cliente33;0,0165875
Cliente16;0,0166539
Cliente26;0,0166321
Cliente0;0,0165397
Cliente67;0,0166442
Cliente17;0,016672
Cliente25;0,0166168
Cliente19;0,0166239
Cliente42;0,0166393
Cliente49;0,0166416
Cliente31;0,0166332
Cliente52;0,0167162
Cliente13;0,0166675
Cliente27;0,0166532
Cliente65;0,0166331
Cliente41;0,0166741
Cliente5;0,0166789
Cliente4;0,0167069
Cliente32;0,0166521
Cliente63;0,0166834
Cliente69;0,0167855
Cliente48;0,0166404
Cliente3;0,0166542
Cliente22;0,016634
Cliente12;0,0166521
Cliente62;0,0166613
Cliente23;0,0167019
Cliente40;0,0166678
Cliente20;0,016729
Cliente64;0,0167093
Cliente11;0,0167343
Cliente66;0,0167355
Cliente30;0,0166882
Cliente47;0,0167177
Cliente37;0,0166783
Cliente56;0,0167095
Cliente54;0,0167133
Cliente35;0,0167145
Cliente24;0,0167061
Cliente2;0,0166571
Cliente14;0,0167589
Cliente51;0,0167278
Cliente10;0,016702
Cliente8;0,0166723
Cliente29;0,0166544
Cliente9;0,0166908
Cliente58;0,0167308
Cliente55;0,0167017
Cliente43;0,0166992
Cliente44;0,0167147
Cliente15;0,0167866
Cliente53;0,0167349
Cliente28;0,0167111
Cliente18;0,0167432
Cliente36;0,0167362
Cliente6;0,0167358
Cliente68;0,0167174
Cliente45;0,0167024
Cliente61;0,0167715
Cliente46;0,0167144
Cliente34;0,0166904
Cliente38;0,0167406
Cliente57;0,0167342
Cliente21;0,0166913
Cliente39;0,0166928
Cliente7;0,0166754

Cliente55;0,0279155
Cliente17;0,0280946
Cliente49;0,0280381
Cliente37;0,0280182
Cliente75;0,0280792
Cliente26;0,0280132
Cliente42;0,0280009
Cliente71;0,0280625
Cliente98;0,0280623
Cliente61;0,0280871
Cliente56;0,0280404
Cliente33;0,0280512
Cliente1;0,0281666
Cliente97;0,0280978
Cliente39;0,0280844
Cliente31;0,0281554
Cliente14;0,0281094
Cliente48;0,0280905
Cliente32;0,0281111
Cliente77;0,0280758
Cliente64;0,0280683
Cliente79;0,0280631
Cliente45;0,0280258
Cliente99;0,0280895
Cliente76;0,0281296
Cliente38;0,0280967
Cliente88;0,0281236
Cliente43;0,028125
Cliente68;0,0281083
